csid	mp	inchi	name	c	h	o	mol_wt	dou	Aromatic	OH	CO	CHO	COOH	COOR	ROR
7628	-92.95	InChI=1S/C5H8O2/c1-4(2)7-5(3)6/h1H2,2-3H3	isopropenyl acetate	5	8	2	100.11502	2.0	0	0	0	0	0	1	0
9478	-67.05	InChI=1S/C8H14O/c1-7(2)5-4-6-8(3)9/h5H,4,6H2,1-3H3	6-methyl-5-hepten-2-one	8	14	1	126.19575999999999	2.0	0	0	1	0	0	0	0
13864773	-65.05	InChI=1S/C5H10O3/c1-5(6)8-4-3-7-2/h3-4H2,1-2H3	2-methoxyethyl_acetate	5	10	3	118.1299	1.0	0	0	0	0	0	1	1
7515	-75.95	InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3	n-propyl propionate	6	12	2	116.15748	1.0	0	0	0	0	0	1	0
7782	-92.95	InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3	n-propyl formate	4	8	2	88.10432	1.0	0	0	0	0	0	1	0
3218	186.05	InChI=1S/C16H14O3/c17-15(10-11-16(18)19)14-8-6-13(7-9-14)12-4-2-1-3-5-12/h1-9H,10-11H2,(H,18,19)	fenbufen	16	14	3	254.27936	10.0	1	0	1	0	1	0	0
6138	-111.97	InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3	propylene oxide	3	6	1	58.07874	1.0	0	0	0	0	0	0	1
7509	-66.03	InChI=1S/C9H18O2/c1-3-5-6-7-8-9(10)11-4-2/h3-8H2,1-2H3	ethyl heptanoate	9	18	2	158.23722	1.0	0	0	0	0	0	1	0
7728	-85.04	InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3	2-methoxyethanol	3	8	2	76.09362	0.0	0	1	0	0	0	0	1
6296	-8.03	InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3	isophorone	9	14	1	138.20646	3.0	0	0	1	0	0	0	0
21105987	-31.05	InChI=1S/C10H12O2/c1-9(11)12-8-7-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3	2-phenylethyl acetate	10	12	2	164.20028	5.0	1	0	0	0	0	1	0
21106102	-61.98	InChI=1S/C5H8O4/c1-8-4(6)3-5(7)9-2/h3H2,1-2H3	dimethyl malonate	5	8	4	132.11302	2.0	0	0	0	0	0	1	0
29015	11.87	InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2	1,4-dioxane	4	8	2	88.10432	1.0	0	0	0	0	0	0	1
13860335	-15.05	InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	benzyl alcohol	7	8	1	108.13741999999999	4.0	1	1	0	0	0	0	0
6657	-6.9	InChI=1S/C10H14O/c1-10(2,3)8-6-4-5-7-9(8)11/h4-7,11H,1-3H3	2-tert-butylphenol	10	14	1	150.21716	4.0	1	1	0	0	0	0	0
20140	7.1	InChI=1S/C10H12O/c1-3-10(11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3	4'-methylpropiophenone	10	12	1	148.20128	5.0	1	0	1	0	0	0	0
7847	5.1	InChI=1S/C13H26O2/c1-3-4-5-6-7-8-9-10-11-12-13(14)15-2/h3-12H2,1-2H3	methyl dodecanoate	13	26	2	214.34353999999996	1.0	0	0	0	0	0	1	0
12450	-2.13	InChI=1S/C4H6O/c1-2-3-4-5/h5H,4H2,1H3	2-butyn-1-ol	4	6	1	70.08944	2.0	0	1	0	0	0	0	0
7747	-98.9	InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3	isobutyl acetate	6	12	2	116.15748	1.0	0	0	0	0	0	1	0
13854808	-113.1	InChI=1S/C4H10O2/c1-4(5-2)6-3/h4H,1-3H3	acetaldehyde dimethyl acetal	4	10	2	90.1202	0.0	0	0	0	0	0	0	1
7507	-73.1	InChI=1S/C9H18O2/c1-4-5-9(10)11-7-6-8(2)3/h8H,4-7H2,1-3H3	isopentyl butyrate	9	18	2	158.23722	1.0	0	0	0	0	0	1	0
10420	-91.1	InChI=1S/C7H14O2/c1-3-5-6-7(8)9-4-2/h3-6H2,1-2H3	ethyl valerate	7	14	2	130.18406	1.0	0	0	0	0	0	1	0
7065	-88.1	InChI=1S/C6H12O2/c1-4-8-6(7)5(2)3/h5H,4H2,1-3H3	ethyl isobutyrate	6	12	2	116.15748	1.0	0	0	0	0	0	1	0
10428	-73.1	InChI=1S/C9H18O2/c1-3-5-6-8-11-9(10)7-4-2/h3-8H2,1-2H3	pentyl_butyrate	9	18	2	158.23722	1.0	0	0	0	0	0	1	0
29000	-117.07	InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3	3-methyl-1-butanol	5	12	1	88.14778	0.0	0	1	0	0	0	0	0
8490	-71.05	InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3	ethyl acrylate	5	8	2	100.11502	2.0	0	0	0	0	0	1	0
13837190	-104.95	InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3	dimethoxymethane	3	8	2	76.09362	0.0	0	0	0	0	0	0	1
66547	127.13	InChI=1S/C11H12O3/c12-10(7-4-8-11(13)14)9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,13,14)	4-benzoylbutyric acid	11	12	3	192.20998000000003	6.0	1	0	1	0	1	0	0
10571	-84.85	InChI=1S/C5H10O2/c1-4(2)5(6)7-3/h4H,1-3H3	methyl isobutyrate	5	10	2	102.13090000000001	1.0	0	0	0	0	0	1	0
11790	-68.85	InChI=1S/C9H18O2/c1-3-5-6-7-9(10)11-8-4-2/h3-8H2,1-2H3	n-propyl hexanoate	9	18	2	158.23722	1.0	0	0	0	0	0	1	0
13850405	-51.1	InChI=1S/C9H10O2/c1-8(10)11-7-9-5-3-2-4-6-9/h2-6H,7H2,1H3	benzyl acetate	9	10	2	150.1737	5.0	1	0	0	0	0	1	0
224468	124.1	InChI=1S/C17H14O3/c1-2-14-16(13-5-3-4-6-15(13)20-14)17(19)11-7-9-12(18)10-8-11/h3-10,18H,2H2,1H3	benzarone	17	14	3	266.29006	11.0	1	1	1	0	0	0	0
7657	-99.1	InChI=1S/C7H14O2/c1-4-9-7(8)5-6(2)3/h6H,4-5H2,1-3H3	ethyl isovalerate	7	14	2	130.18406	1.0	0	0	0	0	0	1	0
7838	-43.08	InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3	heptanal	7	14	1	114.18506	1.0	0	0	0	1	0	0	0
3168	-116.08	InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3	diethyl ether	4	10	1	74.1212	0.0	0	0	0	0	0	0	1
11750	7.8	InChI=1S/C3H6O3/c1-6-2-3(4)5/h2H2,1H3,(H,4,5)	methoxyacetic acid	3	6	3	90.07674	1.0	0	0	0	0	1	0	1
6336	-0.05	InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3	ethaneperoxoic acid	2	4	3	76.05016	1.0	0	0	0	0	0	0	0
21171506	-27.15	InChI=1S/C7H12O3/c1-5(2)10-7(9)4-6(3)8/h5H,4H2,1-3H3	isopropyl acetoacetate	7	12	3	144.16718	2.0	0	0	1	0	0	1	0
29023	12.15	InChI=1S/C16H32O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16(17)18-4-2/h3-15H2,1-2H3	ethyl tetradecanoate	16	32	2	256.42328	1.0	0	0	0	0	0	1	0
278	8.23	InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)	formic acid	1	2	2	46.02458	1.0	0	0	0	0	1	0	0
7701	-33.94428571	InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)	valeric acid	5	10	2	102.13090000000001	1.0	0	0	0	0	1	0	0
11741	-50.2	InChI=1S/C8H18O/c1-4-5-6-7-8(2,3)9/h9H,4-7H2,1-3H3	2-methyl-2-heptanol	8	18	1	130.22752	0.0	0	1	0	0	0	0	0
6248	-23.8	InChI=1S/C6H14O/c1-4-6(3,7)5-2/h7H,4-5H2,1-3H3	3-methyl-3-pentanol	6	14	1	102.17436	0.0	0	1	0	0	0	0	0
11041	-40.8	InChI=1S/C7H12O/c1-6-2-4-7(8)5-3-6/h6H,2-5H2,1H3	4-methylcyclohexanone	7	12	1	112.16918	2.0	0	0	1	0	0	0	0
55123	-62.8	InChI=1S/C7H14O2/c1-2-3-4-5-6-9-7-8/h7H,2-6H2,1H3	n-hexyl formate	7	14	2	130.18406	1.0	0	0	0	0	0	1	0
13885245	-29.2	InChI=1S/C10H12O2/c1-2-12-10(11)8-9-6-4-3-5-7-9/h3-7H,2,8H2,1H3	ethyl phenylacetate	10	12	2	164.20028	5.0	1	0	0	0	0	1	0
733	18.0	InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2	glycerol	3	8	3	92.09262	0.0	0	1	0	0	0	0	0
13673	-19.13	InChI=1S/C10H14O/c1-2-3-9-11-10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3	n-butyl phenyl ether	10	14	1	150.21716	4.0	1	0	0	0	0	0	1
171	16.784000000000002	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	acetic acid	2	4	2	60.051159999999996	1.0	0	0	0	0	1	0	0
21106133	2.87	InChI=1S/C5H8O/c1-4-5(2,3)6/h1,6H,2-3H3	2-methyl-3-butyn-2-ol	5	8	1	84.11601999999999	2.0	0	1	0	0	0	0	0
13835180	-10.2	InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2	diethylene glycol	4	10	3	106.1192	0.0	0	1	0	0	0	0	1
59482	-9.2	InChI=1S/C11H14O/c1-2-3-9-11(12)10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3	valerophenone	11	14	1	162.22786000000002	5.0	1	0	1	0	0	0	0
1005	-20.924	InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)	propionic acid	3	6	2	74.07774	1.0	0	0	0	0	1	0	0
7627	-73.2	InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3	isopropyl acetate	5	10	2	102.13090000000001	1.0	0	0	0	0	0	1	0
12071	69.2	InChI=1S/C19H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h2-18H2,1H3,(H,20,21)	nonadecanoic acid	19	38	2	298.50302	1.0	0	0	0	0	1	0	0
10035	75.13	InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)	arachidic acid	20	40	2	312.5296	1.0	0	0	0	0	1	0	0
14672	-108.9	InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3	tert-butyl methyl ether	5	12	1	88.14778	0.0	0	0	0	0	0	0	1
8525	-83.9	InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3	ethyl acetate	4	8	2	88.10432	1.0	0	0	0	0	0	1	0
682	-114.1325	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	ethanol	2	6	1	46.06804	0.0	0	1	0	0	0	0	0
7737	-108.11	InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2	tetrahydrofuran	4	8	1	72.10531999999999	1.0	0	0	0	0	0	0	1
6406	-47.89	InChI=1S/C5H8O2/c1-4(2)5(6)7-3/h1H2,2-3H3	methyl methacrylate	5	8	2	100.11502	2.0	0	0	0	0	0	1	0
864	-97.90555556	InChI=1S/CH4O/c1-2/h2H,1H3	methanol	1	4	1	32.04146	0.0	0	1	0	0	0	0	0
56234	73.25	InChI=1S/C8H8O/c1-2-7-3-5-8(9)6-4-7/h2-6,9H,1H2	p-vinylphenol	8	8	1	120.14811999999999	5.0	1	1	0	0	0	0	0
55085	-22.25	InChI=1S/C5H8O2/c1-2-3-4-5(6)7/h2H,1,3-4H2,(H,6,7)	4-pentenoic acid	5	8	2	100.11502	2.0	0	0	0	0	1	0	0
63871	-6.25	InChI=1S/C7H12O2/c1-2-3-4-5-6-7(8)9/h2H,1,3-6H2,(H,8,9)	6-heptenoic acid	7	12	2	128.16818	2.0	0	0	0	0	1	0	0
10771160	24.25	InChI=1S/C11H20O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2H,1,3-10H2,(H,12,13)	10-undecenoic acid	11	20	2	184.2745	2.0	0	0	0	0	1	0	0
352	218.25	InChI=1S/C6H6O3/c7-4-1-5(8)3-6(9)2-4/h1-3,7-9H	phloroglucinol, anhydrous	6	6	3	126.10884	4.0	1	1	0	0	0	0	0
9917	4.25	InChI=1S/C4H4O2/c5-4-2-1-3-6-4/h1-2H,3H2	2(5h)-furanone	4	4	2	84.07256	3.0	0	0	0	0	0	1	0
12680	174.75	InChI=1S/C11H16O2/c12-10(13)11-4-7-1-8(5-11)3-9(2-7)6-11/h7-9H,1-6H2,(H,12,13)	adamantane-1-carboxylic acid	11	16	2	180.24274	4.0	0	0	0	0	1	0	0
8253	201.25	InChI=1S/C13H10O5/c14-7-1-3-9(11(16)5-7)13(18)10-4-2-8(15)6-12(10)17/h1-6,14-17H	2,2',4,4'-tetrahydroxybenzophenone	13	10	5	246.21349999999998	9.0	1	1	1	0	0	0	0
4444774	230.25	InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H	7-hydroxycoumarin	9	6	3	162.14094	7.0	1	1	0	0	0	0	0
6899	42.25	InChI=1S/C14H10O3/c15-13(11-7-3-1-4-8-11)17-14(16)12-9-5-2-6-10-12/h1-10H	benzoic anhydride	14	10	3	226.2262	10.0	1	0	0	0	0	0	0
4444935	214.75	InChI=1S/C15H10O5/c16-9-6-10(17)12-11(7-9)20-15(14(19)13(12)18)8-4-2-1-3-5-8/h1-7,16-17,19H	3,5,7-trihydroxyflavone	15	10	5	270.23490000000004	11.0	1	1	0	0	0	0	0
70962	79.75	InChI=1S/C12H14O/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-5,11H,6-9H2	4-phenylcyclohexanone	12	14	1	174.23856	6.0	1	0	1	0	0	0	0
3215	160.75	InChI=1S/C14H12O2/c15-14(16)10-11-6-8-13(9-7-11)12-4-2-1-3-5-12/h1-9H,10H2,(H,15,16)	4-biphenylacetic acid	14	12	2	212.24308	9.0	1	0	0	0	1	0	0
59526	24.75	InChI=1S/C13H10O2/c14-10-11-6-8-13(9-7-11)15-12-4-2-1-3-5-12/h1-10H	4-phenoxybenzaldehyde	13	10	2	198.21649999999997	9.0	1	0	0	1	0	0	1
11641	81.75	InChI=1S/C15H16O3/c16-13(11-17-14-7-3-1-4-8-14)12-18-15-9-5-2-6-10-15/h1-10,13,16H,11-12H2	1,3-diphenoxy-2-propanol	15	16	3	244.28454	8.0	1	1	0	0	0	0	1
73626	97.75	InChI=1S/C9H10O3/c10-9(11)6-7-12-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)	3-phenoxypropionic acid	9	10	3	166.17270000000002	5.0	1	0	0	0	1	0	1
21106522	-21.25	InChI=1S/C8H8O/c1-2-4-8-7(3-1)5-6-9-8/h1-4H,5-6H2	2,3-dihydrobenzo[b]furan	8	8	1	120.14811999999999	5.0	1	0	0	0	0	0	1
8861	122.25	InChI=1S/C12H8O2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H	oxanthrene	12	8	2	184.18992	9.0	1	0	0	0	0	0	1
9849	122.25	InChI=1S/C5H4O3/c6-5(7)4-1-2-8-3-4/h1-3H,(H,6,7)	3-furoic acid	5	4	3	112.08226	4.0	1	0	0	0	1	0	0
28952	40.75	InChI=1S/C11H14O3/c1-8(12)3-4-9-5-6-10(13)11(7-9)14-2/h5-7,13H,3-4H2,1-2H3	4-(4-hydroxy-3-methoxyphenyl)-2-butanone	11	14	3	194.22586	5.0	1	1	1	0	0	0	1
12691	44.75	InChI=1S/C12H10O2/c1-9(13)14-12-8-4-6-10-5-2-3-7-11(10)12/h2-8H,1H3	1-naphthyl acetate	12	10	2	186.20579999999998	8.0	1	0	0	0	0	1	0
14285	207.75	InChI=1S/C15H22O3/c1-14(2,3)10-7-9(13(17)18)8-11(12(10)16)15(4,5)6/h7-8,16H,1-6H3,(H,17,18)	3,5-di-tert-butyl-4-hydroxybenzoic acid	15	22	3	250.33218	5.0	1	1	0	0	1	0	0
13438	6.25	InChI=1S/C6H12O2/c1-6(2,3)4-5(7)8/h4H2,1-3H3,(H,7,8)	3,3-dimethylbutyric acid	6	12	2	116.15748	1.0	0	0	0	0	1	0	0
7670	-41.75	InChI=1S/C9H18O/c1-7(2)5-9(10)6-8(3)4/h7-8H,5-6H2,1-4H3	2,6-dimethyl-4-heptanone	9	18	1	142.23822	1.0	0	0	1	0	0	0	0
7761	-93.25	InChI=1S/C6H12O2/c1-6(2)3-4-8-5-7/h5-6H,3-4H2,1-2H3	isoamyl_formate	6	12	2	116.15748	1.0	0	0	0	0	0	1	0
2656	1.25	InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3	1,8-cineole	10	18	1	154.24892	2.0	0	0	0	0	0	0	1
29091	148.25	InChI=1S/C8H12O2/c1-8(2)4-6(9)3-7(10)5-8/h3-5H2,1-2H3	dimedone	8	12	2	140.17888	3.0	0	0	1	0	0	0	0
11517	7.75	InChI=1S/C5H4O3/c1-3-2-4(6)8-5(3)7/h2H,1H3	citraconic anhydride	5	4	3	112.08226	4.0	0	0	0	0	0	0	0
12244	93.75	InChI=1S/C9H12O/c1-6-4-7(2)8(3)9(10)5-6/h4-5,10H,1-3H3	2,3,5-trimethylphenol	9	12	1	136.19058	4.0	1	1	0	0	0	0	0
21159574	10.25	InChI=1S/C11H14O/c1-7-5-9(3)11(10(4)12)6-8(7)2/h5-6H,1-4H3	2',4',5'-trimethylacetophenone	11	14	1	162.22786000000002	5.0	1	0	1	0	0	0	0
13839080	107.25	InChI=1S/C7H8O2/c1-5-2-6(8)4-7(9)3-5/h2-4,8-9H,1H3	3,5-dihydroxytoluene	7	8	2	124.13642	4.0	1	1	0	0	0	0	0
16109	51.75	InChI=1S/C11H16O/c1-8-5-6-10(12)9(7-8)11(2,3)4/h5-7,12H,1-4H3	2-tert-butyl-4-methylphenol	11	16	1	164.24374	4.0	1	1	0	0	0	0	0
21105936	5.75	InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3	2-methoxy-4-methylphenol	8	10	2	138.16299999999998	4.0	1	1	0	0	0	0	1
6825	76.25	InChI=1S/C10H8O2/c1-7-2-4-9-8(6-7)3-5-10(11)12-9/h2-6H,1H3	6-methylcoumarin	10	8	2	160.16852	7.0	1	0	0	0	0	0	0
6482	165.25	InChI=1S/C8H8O3/c1-5-3-2-4-6(7(5)9)8(10)11/h2-4,9H,1H3,(H,10,11)	3-methylsalicylic acid	8	8	3	152.14612	5.0	1	1	0	0	1	0	0
2447	76.75	InChI=1S/C21H26O2/c1-5-6-7-8-15-12-18(22)20-16-11-14(2)9-10-17(16)21(3,4)23-19(20)13-15/h9-13,22H,5-8H2,1-4H3	6,6,9-trimethyl-3-pentyl-6h-benzo[c]chromen-1-ol	21	26	2	310.42913999999996	9.0	1	1	0	0	0	0	1
11210	-12.75	InChI=1S/C7H16O/c1-4-7(8,5-2)6-3/h8H,4-6H2,1-3H3	3-ethyl-3-pentanol	7	16	1	116.20094	0.0	0	1	0	0	0	0	0
11589	112.75	InChI=1S/C9H10O2/c1-2-7-3-5-8(6-4-7)9(10)11/h3-6H,2H2,1H3,(H,10,11)	4-ethylbenzoic acid	9	10	2	150.1737	5.0	1	0	0	0	1	0	0
11025	-55.25	InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3-5H2,1-2H3	3-hexanone	6	12	1	100.15848	1.0	0	0	1	0	0	0	0
12972	14.75	InChI=1S/C11H22O/c1-3-5-7-9-11(12)10-8-6-4-2/h3-10H2,1-2H3	6-undecanone	11	22	1	170.29138	1.0	0	0	1	0	0	0	0
55242	39.25	InChI=1S/C15H30O/c1-3-4-5-6-7-8-9-10-11-12-13-14-15(2)16/h3-14H2,1-2H3	2-pentadecanone	15	30	1	226.39770000000001	1.0	0	0	1	0	0	0	0
10490	77.75	InChI=1S/C27H54O/c1-3-5-7-9-11-13-15-17-19-21-23-25-27(28)26-24-22-20-18-16-14-12-10-8-6-4-2/h3-26H2,1-2H3	14-heptacosanone	27	54	1	394.71666000000005	1.0	0	0	1	0	0	0	0
13777	96.75	InChI=1S/C19H30O5/c1-2-3-4-5-6-7-8-9-10-11-12-24-19(23)15-13-16(20)18(22)17(21)14-15/h13-14,20-22H,2-12H2,1H3	n-dodecyl gallate	19	30	5	338.4365	5.0	1	1	0	0	0	1	0
15020	48.25	InChI=1S/C21H26O3/c1-2-3-4-5-6-10-15-24-18-13-14-19(20(22)16-18)21(23)17-11-8-7-9-12-17/h7-9,11-14,16,22H,2-6,10,15H2,1H3	2-hydroxy-4-n-octyloxybenzophenone	21	26	3	326.42814	9.0	1	1	1	0	0	0	1
11833	-115.25	InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3	methyl_butyl_ether	5	12	1	88.14778	0.0	0	0	0	0	0	0	1
11125	-91.75	InChI=1S/C5H10O2/c1-2-3-4-7-5-6/h5H,2-4H2,1H3	n-butyl formate	5	10	2	102.13090000000001	1.0	0	0	0	0	0	1	0
63002	1.75	InChI=1S/C8H10O4/c1-3-11-7(9)5-6-8(10)12-4-2/h3-4H2,1-2H3	diethyl acetylenedicarboxylate	8	10	4	170.161	4.0	0	0	0	0	0	1	0
18688	-89.75	InChI=1S/C7H14O2/c1-5-9-6(8)7(2,3)4/h5H2,1-4H3	ethyl trimethylacetate	7	14	2	130.18406	1.0	0	0	0	0	0	1	0
21171999	43.75	InChI=1S/C11H14O4/c1-4-15-11(12)8-5-6-9(13-2)10(7-8)14-3/h5-7H,4H2,1-3H3	ethyl 3,4-dimethoxybenzoate	11	14	4	210.22486000000004	5.0	1	0	0	0	0	1	1
11485	34.25	InChI=1S/C7H8O3/c1-2-9-7(8)6-4-3-5-10-6/h3-5H,2H2,1H3	ethyl 2-furoate	7	8	3	140.13542	4.0	1	0	0	0	0	1	0
8154	77.25	InChI=1S/C9H10O3/c1-2-12-9-5-7(6-10)3-4-8(9)11/h3-6,11H,2H2,1H3	3-ethoxy-4-hydroxybenzaldehyde	9	10	3	166.17270000000002	5.0	1	1	0	1	0	0	1
70988	88.75	InChI=1S/C10H12O3/c1-2-13-9-5-3-8(4-6-9)7-10(11)12/h3-6H,2,7H2,1H3,(H,11,12)	4-ethoxyphenylacetic acid	10	12	3	180.19928	5.0	1	0	0	0	1	0	1
11651	66.25	InChI=1S/C8H10O2/c1-2-10-8-5-3-7(9)4-6-8/h3-6,9H,2H2,1H3	4-ethoxyphenol	8	10	2	138.16299999999998	4.0	1	1	0	0	0	0	1
11835	-127.25	InChI=1S/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3	ethyl_propyl_ether	5	12	1	88.14778	0.0	0	0	0	0	0	0	1
9630	-66.25	InChI=1S/C5H12O2/c1-3-6-5-7-4-2/h3-5H2,1-2H3	diethoxymethane	5	12	2	104.14678	0.0	0	0	0	0	0	0	1
1675	143.25	InChI=1S/C9H10O4/c1-13-8-4-6(5-9(11)12)2-3-7(8)10/h2-4,10H,5H2,1H3,(H,11,12)	homovanillic acid	9	10	4	182.17170000000002	5.0	1	1	0	0	1	0	1
10833	100.75	InChI=1S/C10H12O5/c1-13-7-5-4-6(10(11)12)8(14-2)9(7)15-3/h4-5H,1-3H3,(H,11,12)	2,3,4-trimethoxybenzoic acid	10	12	5	212.19728	5.0	1	0	0	0	1	0	1
